station_name,metro_line,hour_of_day,day_of_week,month,is_weekend,is_holiday,temperature_c,is_raining,nearby_it_park,train_frequency_min,is_peak_hour,time_category,is_off_day,passenger_count,footfall_category,station_type,delay_minutes,wifi_available,date,fare_inr
Yelachenahalli,Green,19.0,Wednesday,April,No,No,27.4,No,No,3.0,Yes,Evening,No,4452.0,High,,5.0,No,2024-04-12,20.0
Sandal Soap Factory,Green,13.0,Sunday,October,Yes,No,31.7,No,No,5.0,No,Midday,Yes,1150.0,Medium,Regular,0.0,No,2024-10-05,20.0
,Green,13.0,Tuesday,September,No,No,25.5,No,No,5.0,No,Midday,No,2314.0,High,Regular,0.0,No,2024-09-02,20.0
Trinity,Purple,12.0,Sunday,February,Yes,No,23.2,No,No,5.0,No,Midday,Yes,1359.0,Medium,Regular,0.0,Yes,2024-02-22,20.0
Banashankari,Yellow,8.0,Tuesday,March,No,No,,,No,3.0,Yes,Morning,No,3559.0,High,Regular,0.0,Yes,2025-03-07,40.0
Kengeri,Purple,11.0,Monday,April,No,No,,No,No,5.0,No,Midday,No,1258.0,Medium,Terminal,0.0,Yes,2024-04-13,50.0
RV Road,Yellow,15.0,Monday,October,No,No,26.5,No,No,5.0,No,Evening,No,1158.0,Medium,Interchange,0.0,No,2023-10-25,30.0
Yelachenahalli,Green,11.0,Thursday,March,No,No,32.7,No,No,5.0,No,Midday,No,1288.0,Medium,Regular,0.0,No,2025-03-15,20.0
Tagore Nagar,Yellow,21.0,Friday,March,No,No,26.7,No,No,8.0,No,Night,No,908.0,Medium,Regular,0.0,No,2023-03-22,20.0
Peenya,Green,6.0,Wednesday,July,No,No,25.2,No,Yes,8.0,No,Morning,No,,Medium,Regular,0.0,No,2024-07-03,20.0
Attiguppe,Purple,11.0,Thursday,February,No,No,26.1,No,,5.0,No,Midday,No,1176.0,Medium,Regular,0.0,No,2024-02-21,40.0
Deepanjalinagar,,13.0,Sunday,October,Yes,No,27.0,No,No,5.0,No,Midday,Yes,1282.0,Medium,Regular,0.0,No,2024-10-20,20.0
Yelachenahalli,Green,17.0,Saturday,March,Yes,No,21.5,No,No,3.0,Yes,Evening,Yes,2589.0,High,Regular,2.0,No,2023-03-05,20.0
Attiguppe,Purple,10.0,Wednesday,September,No,No,27.8,,No,5.0,No,Midday,No,,Medium,Regular,2.0,No,2024-09-24,
Banashankari,Yellow,12.0,Saturday,June,Yes,No,26.2,Yes,No,5.0,No,Midday,Yes,974.0,Medium,Regular,0.0,Yes,2025-06-08,40.0
Jayanagar,Green,10.0,Monday,October,No,No,25.7,No,No,5.0,No,Midday,No,1279.0,Medium,Regular,0.0,No,2024-10-22,30.0
Nagasandra,Green,10.0,Friday,October,No,Yes,26.1,No,No,5.0,No,Midday,Yes,525.0,Low,Terminal,0.0,No,,10.0
Lalbagh,Green,12.0,Friday,December,No,,22.6,No,No,5.0,No,Midday,No,1764.0,Medium,Regular,0.0,Yes,2024-12-08,25.0
Mysuru Road,Purple,11.0,Friday,December,No,No,27.3,No,No,5.0,No,Midday,No,1326.0,Medium,,0.0,No,2023-12-24,40.0
Swami Vivekananda Road,Purple,7.0,Thursday,February,No,No,30.2,No,No,3.0,Yes,Morning,No,1368.0,Medium,,0.0,No,2024-02-18,20.0
Jalahalli,Green,21.0,Saturday,August,Yes,No,27.5,Yes,No,8.0,No,Night,Yes,493.0,Low,Regular,,No,2025-08-20,15.0
KR Market,Green,19.0,Sunday,December,Yes,No,25.4,No,No,3.0,Yes,Evening,Yes,2702.0,High,Regular,10.0,No,2023-12-16,20.0
Halasuru,Purple,17.0,Thursday,June,No,No,28.7,Yes,No,3.0,Yes,Evening,No,2763.0,High,Regular,10.0,Yes,2023-06-18,20.0
Whitefield,Purple,20.0,Tuesday,January,No,No,24.4,No,Yes,8.0,No,Night,No,900.0,Medium,Regular,2.0,No,2023-01-20,20.0
Hosahalli,Purple,22.0,Monday,July,No,No,24.6,No,No,8.0,No,Night,No,816.0,Medium,Regular,0.0,No,2024-07-12,20.0
Majestic,Green,7.0,Sunday,April,Yes,,23.7,No,,3.0,Yes,Morning,Yes,1219.0,Medium,Interchange,0.0,Yes,2025-04-13,25.0
Chickpete,Green,8.0,Friday,July,No,No,25.3,No,No,5.0,Yes,Morning,No,4080.0,High,Regular,2.0,No,2023-07-13,20.0
Yelachenahalli,Green,12.0,Monday,June,,No,24.1,No,No,5.0,No,Midday,No,1989.0,Medium,Regular,0.0,No,2024-06-10,20.0
Jalahalli,Green,22.0,Wednesday,February,No,No,32.4,No,No,8.0,No,Night,No,830.0,Medium,,0.0,No,2023-02-07,15.0
Hebbagodi,Yellow,15.0,Monday,July,No,No,22.5,No,Yes,5.0,No,Evening,No,1185.0,Medium,Regular,0.0,No,2025-07-25,20.0
South End Circle,Green,,Sunday,May,Yes,No,27.0,No,No,8.0,No,Night,Yes,524.0,Low,Regular,0.0,No,2023-05-14,30.0
Halasuru,Purple,18.0,Sunday,March,Yes,No,30.3,No,No,3.0,Yes,Evening,Yes,3063.0,High,Regular,10.0,Yes,2024-03-24,20.0
,Green,14.0,Monday,January,No,No,29.9,No,No,5.0,No,Evening,No,1197.0,Medium,Regular,0.0,No,2025-01-16,20.0
Whitefield,Purple,13.0,Monday,December,No,No,28.2,No,Yes,5.0,No,Midday,No,1988.0,Medium,Regular,0.0,No,2025-12-15,20.0
Indiranagar,Purple,20.0,Sunday,July,Yes,No,30.3,No,Yes,8.0,No,Night,Yes,668.0,Low,Regular,0.0,Yes,2024-07-12,15.0
Majestic,Purple,,Friday,September,No,No,,No,,8.0,No,Night,No,,Medium,Interchange,0.0,Yes,2024-09-09,25.0
Jalahalli,Green,10.0,Thursday,January,No,No,19.8,No,No,5.0,No,Midday,No,1135.0,Medium,Regular,0.0,No,2024-01-08,15.0
Jalahalli,Green,15.0,Wednesday,November,No,No,30.6,No,No,5.0,No,Evening,No,1129.0,Medium,Regular,0.0,No,2023-11-18,15.0
Banashankari,Yellow,6.0,Monday,April,No,No,27.1,No,No,8.0,No,Morning,No,1356.0,Medium,Regular,5.0,Yes,2023-04-23,40.0
,Yellow,14.0,Friday,May,No,No,27.0,No,Yes,5.0,No,Evening,No,1121.0,Medium,Regular,2.0,No,2024-05-18,20.0
,Purple,6.0,Tuesday,June,No,No,29.1,No,No,8.0,No,Morning,No,1307.0,Medium,,,No,2023-06-13,30.0
Swami Vivekananda Road,Purple,19.0,Tuesday,,No,No,27.0,No,,3.0,Yes,Evening,No,4506.0,,Regular,5.0,No,2023-12-27,20.0
Lalbagh,Green,20.0,Friday,May,No,No,30.3,No,No,8.0,No,Night,No,827.0,Medium,Regular,0.0,Yes,2024-05-18,25.0
RV Road,Yellow,12.0,Saturday,October,Yes,No,25.8,No,No,5.0,No,Midday,Yes,1241.0,Medium,Interchange,5.0,No,2025-10-15,30.0
,Purple,16.0,Saturday,February,Yes,,26.7,No,No,5.0,No,Evening,Yes,773.0,Low,,0.0,,2024-02-04,
Jayanagar 4th Block,Yellow,10.0,,January,No,No,26.4,No,No,5.0,No,Midday,No,1460.0,Medium,Regular,0.0,No,2023-01-17,20.0
Deepanjalinagar,Purple,19.0,Sunday,March,Yes,No,26.4,No,No,3.0,Yes,Evening,Yes,2968.0,High,Regular,0.0,No,2023-03-05,20.0
Sandal Soap Factory,Green,13.0,Sunday,August,Yes,No,27.8,Yes,No,5.0,No,Midday,Yes,989.0,Medium,Regular,0.0,No,2025-08-22,20.0
Kengeri,Purple,9.0,Monday,December,No,No,28.2,No,No,,Yes,Morning,No,3235.0,High,Terminal,0.0,Yes,2023-12-16,50.0
National College,Green,9.0,Sunday,September,Yes,No,32.6,No,No,3.0,Yes,Morning,Yes,2698.0,High,Regular,0.0,No,2023-09-09,25.0
Yelachenahalli,Green,14.0,Thursday,March,No,,23.3,No,No,5.0,No,Evening,No,1263.0,Medium,Regular,2.0,No,2024-03-10,20.0
,Purple,17.0,Tuesday,June,No,No,,No,No,3.0,Yes,Evening,No,4506.0,High,Regular,0.0,No,2024-06-24,40.0
Majestic,Purple,20.0,Tuesday,February,No,No,,No,No,8.0,No,Night,No,1196.0,Medium,Interchange,0.0,Yes,2024-02-18,25.0
Baiyappanahalli,Purple,6.0,Monday,February,No,No,29.8,No,No,,,Morning,No,1426.0,Medium,Terminal,0.0,Yes,2023-02-17,10.0
RV Road,,11.0,Saturday,June,Yes,No,24.6,Yes,No,5.0,No,Midday,Yes,650.0,Low,Interchange,0.0,No,2023-06-18,30.0
Magadi Road,Purple,21.0,Monday,September,No,No,31.4,No,No,8.0,No,Night,No,842.0,Medium,Regular,2.0,No,2025-09-07,20.0
Banashankari,Yellow,6.0,Sunday,March,Yes,No,29.8,No,No,8.0,No,Morning,Yes,1003.0,Medium,Regular,0.0,Yes,2023-03-04,40.0
Swami Vivekananda Road,Purple,7.0,Sunday,November,Yes,No,24.4,No,No,3.0,Yes,Morning,Yes,,,Regular,10.0,No,2024-11-26,20.0
Deepanjalinagar,Purple,20.0,Sunday,March,Yes,No,25.9,No,No,8.0,No,Night,Yes,540.0,Low,Regular,2.0,No,2025-03-05,20.0
Banashankari,Yellow,,Monday,March,No,No,23.3,No,No,5.0,No,Midday,No,1029.0,Medium,Regular,0.0,Yes,2024-03-23,40.0
Attiguppe,Purple,12.0,Wednesday,August,No,No,25.8,No,No,5.0,No,Midday,No,1830.0,Medium,Regular,0.0,No,2024-08-16,40.0
RV Road,Yellow,7.0,Friday,December,No,,27.0,No,No,3.0,Yes,Morning,No,1557.0,Medium,Interchange,5.0,No,2023-12-03,30.0
Sandal Soap Factory,Green,7.0,Thursday,February,No,,24.2,No,No,,Yes,Morning,No,1451.0,Medium,Regular,5.0,No,2024-02-26,20.0
South End Circle,,21.0,Friday,May,No,No,,No,No,8.0,No,Night,No,941.0,Medium,Regular,2.0,No,2025-05-18,30.0
Hebbagodi,Yellow,11.0,Friday,July,No,No,25.3,No,Yes,5.0,No,Midday,No,1093.0,Medium,Regular,2.0,No,2025-07-23,20.0
Dasarahalli,Green,15.0,Friday,March,No,No,27.2,No,No,5.0,No,Evening,No,1319.0,Medium,Regular,0.0,,2023-03-21,10.0
Peenya,Green,14.0,Wednesday,January,No,No,,No,Yes,5.0,No,Evening,No,1315.0,Medium,Regular,0.0,No,2023-01-14,20.0
Attiguppe,,7.0,Thursday,October,,No,25.6,No,No,3.0,Yes,Morning,No,1460.0,Medium,Regular,0.0,No,2025-10-15,40.0
Deepanjalinagar,Purple,18.0,Wednesday,May,No,,29.8,No,No,3.0,Yes,Evening,No,3794.0,High,Regular,5.0,No,2025-05-17,20.0
Indiranagar,Purple,22.0,Tuesday,April,No,No,,No,Yes,8.0,No,Night,No,899.0,Medium,,,Yes,2025-04-01,15.0
Majestic,Purple,10.0,Tuesday,December,No,No,25.5,No,No,5.0,No,Midday,No,1632.0,Medium,Interchange,0.0,Yes,2023-12-25,25.0
Majestic,Purple,22.0,Friday,June,No,No,28.5,No,No,8.0,,Night,No,1266.0,Medium,Interchange,0.0,Yes,2024-06-21,25.0
Jayanagar,Green,7.0,Thursday,July,No,No,28.2,No,No,3.0,Yes,Morning,No,1591.0,Medium,Regular,0.0,No,2025-07-17,30.0
Tagore Nagar,Yellow,20.0,Monday,January,No,No,27.0,No,No,8.0,No,Night,No,888.0,Medium,Regular,0.0,No,2024-01-23,20.0
Majestic,Purple,20.0,Wednesday,May,No,No,28.7,No,No,8.0,No,Night,No,1131.0,Medium,Interchange,2.0,Yes,2024-05-25,25.0
Sandal Soap Factory,Green,9.0,Wednesday,November,No,No,27.5,No,No,3.0,Yes,Morning,No,3545.0,High,Regular,2.0,No,2023-11-11,20.0
Deepanjalinagar,Purple,,Friday,,No,No,27.8,Yes,No,8.0,No,Night,No,708.0,Low,Regular,2.0,No,2024-07-17,20.0
Mysuru Road,Purple,9.0,Saturday,July,Yes,No,24.9,Yes,No,3.0,Yes,Morning,Yes,2178.0,High,Regular,2.0,No,2023-07-26,40.0
RV Road,Yellow,12.0,Thursday,September,No,No,23.9,Yes,No,5.0,No,Midday,No,1901.0,Medium,Interchange,0.0,No,2024-09-14,30.0
Lalbagh,Green,18.0,Wednesday,March,No,No,25.2,No,No,3.0,Yes,Evening,No,4466.0,High,Regular,5.0,Yes,,25.0
Electronic City,Yellow,9.0,Monday,February,No,No,30.7,,Yes,3.0,Yes,Morning,No,5349.0,High,Regular,5.0,No,2024-02-19,20.0
Vijayanagar,Purple,14.0,Tuesday,August,No,,27.4,,No,,No,Evening,No,1277.0,Medium,Regular,0.0,No,2025-08-21,30.0
Hosahalli,Purple,7.0,Thursday,July,No,No,26.5,Yes,No,3.0,Yes,Morning,No,1231.0,Medium,Regular,5.0,No,2023-07-07,20.0
Bommasandra,Yellow,22.0,Tuesday,July,No,No,26.4,No,Yes,8.0,No,Night,No,857.0,Medium,Terminal,0.0,No,2024-07-24,50.0
Gottigere,Yellow,11.0,Saturday,September,Yes,No,24.7,Yes,No,,No,Midday,Yes,627.0,Low,Regular,0.0,No,2025-09-13,20.0
National College,Green,7.0,Tuesday,October,No,No,25.3,No,No,,Yes,Morning,No,1382.0,Medium,Regular,2.0,No,2023-10-18,25.0
Yeshwanthpur,Green,8.0,Tuesday,January,No,No,25.0,No,Yes,3.0,Yes,Morning,No,4072.0,High,Regular,0.0,Yes,2023-01-23,20.0
Jayanagar,Green,11.0,Friday,April,No,No,21.1,No,No,5.0,No,Midday,No,1171.0,Medium,Regular,0.0,No,2024-04-14,30.0
Jayanagar,Green,21.0,Saturday,October,Yes,No,23.8,No,No,8.0,No,Night,,526.0,Low,Regular,0.0,No,2023-10-01,30.0
Attiguppe,Purple,20.0,Wednesday,April,No,No,22.8,No,No,8.0,No,Night,No,779.0,Low,Regular,0.0,No,2025-04-07,40.0
,Yellow,8.0,Monday,August,No,No,25.4,No,No,3.0,Yes,Morning,No,3807.0,High,Regular,0.0,No,2025-08-08,20.0
Attiguppe,Purple,7.0,Monday,June,No,No,33.9,No,No,5.0,Yes,Morning,No,1513.0,Medium,Regular,2.0,No,2024-06-18,40.0
Vijayanagar,Purple,20.0,Wednesday,July,No,,,No,No,8.0,No,Night,No,896.0,Medium,Regular,5.0,No,2023-07-09,30.0
National College,Green,19.0,Saturday,December,Yes,No,27.0,No,No,3.0,Yes,Evening,Yes,2859.0,High,Regular,0.0,No,2024-12-01,25.0
Bommasandra,Yellow,21.0,Sunday,March,Yes,No,26.2,No,,8.0,No,Night,Yes,589.0,Low,Terminal,0.0,No,2025-03-22,50.0
Baiyappanahalli,Purple,9.0,Sunday,March,Yes,No,27.6,No,No,,Yes,Morning,Yes,2431.0,High,Terminal,5.0,Yes,2023-03-17,10.0
Nagasandra,Green,8.0,Thursday,December,No,No,25.9,No,No,3.0,Yes,Morning,No,3305.0,High,Terminal,0.0,No,2024-12-19,10.0
Electronic City,Yellow,8.0,Saturday,January,Yes,No,27.0,No,Yes,3.0,Yes,Morning,Yes,3022.0,High,Regular,0.0,No,2024-01-27,20.0
Gottigere,Yellow,16.0,Sunday,October,Yes,No,24.4,No,No,5.0,No,Evening,Yes,731.0,Low,Regular,0.0,No,2024-10-06,20.0
Baiyappanahalli,Purple,8.0,Saturday,August,Yes,No,30.9,No,No,,Yes,Morning,Yes,2162.0,High,Terminal,0.0,Yes,2023-08-03,10.0
Majestic,Purple,7.0,Monday,February,No,No,27.0,No,No,3.0,Yes,Morning,No,2320.0,High,Interchange,10.0,Yes,2025-02-24,25.0
Deepanjalinagar,Purple,15.0,,July,No,No,23.5,No,,5.0,No,Evening,No,1252.0,Medium,Regular,2.0,No,2023-07-05,20.0
Dasarahalli,Green,15.0,Wednesday,July,No,,23.8,Yes,No,,No,Evening,No,1078.0,Medium,Regular,0.0,No,2023-07-02,10.0
Baiyappanahalli,Purple,20.0,Saturday,April,Yes,No,28.4,No,No,8.0,No,Night,Yes,,Low,Terminal,2.0,Yes,2025-04-20,10.0
JP Nagar 2nd Phase,Yellow,16.0,Sunday,October,Yes,No,26.2,No,No,5.0,No,Evening,Yes,844.0,Medium,Regular,2.0,No,2025-10-25,20.0
Banashankari,Yellow,22.0,Sunday,May,Yes,No,27.1,No,No,,No,Night,Yes,,,Regular,0.0,Yes,2023-05-04,40.0
South End Circle,Green,16.0,Thursday,July,No,No,26.9,No,No,5.0,No,Evening,No,1207.0,Medium,Regular,2.0,No,2023-07-10,30.0
RV Road,Yellow,,Friday,January,No,No,29.4,No,No,8.0,No,Night,No,930.0,Medium,Interchange,0.0,,2023-01-10,30.0
Jalahalli,Green,12.0,Saturday,September,Yes,No,27.8,Yes,No,5.0,No,Midday,Yes,1165.0,Medium,Regular,2.0,No,2023-09-24,15.0
Whitefield,Purple,13.0,Tuesday,November,No,No,27.0,No,Yes,5.0,No,Midday,No,1901.0,Medium,Regular,2.0,No,2023-11-21,20.0
Jalahalli,Green,9.0,Tuesday,May,No,No,26.7,No,No,3.0,Yes,Morning,No,3501.0,High,Regular,0.0,No,2023-05-11,15.0
Yelachenahalli,Green,17.0,Saturday,,Yes,No,25.2,Yes,,3.0,Yes,Evening,Yes,2031.0,High,Regular,0.0,No,2024-09-27,20.0
Nagasandra,Green,16.0,Wednesday,February,No,No,27.2,No,No,5.0,No,Evening,No,1022.0,,Terminal,0.0,No,2025-02-16,10.0
Hosahalli,Purple,11.0,Sunday,February,Yes,No,33.0,No,No,5.0,No,Midday,Yes,779.0,,Regular,0.0,No,2024-02-26,20.0
Baiyappanahalli,Purple,11.0,Saturday,April,Yes,No,25.5,No,No,5.0,No,Midday,,873.0,Medium,Terminal,2.0,Yes,2024-04-17,10.0
Hosahalli,Purple,15.0,Sunday,July,Yes,No,24.2,No,No,5.0,No,Evening,Yes,772.0,Low,Regular,2.0,No,2023-07-16,20.0
Chickpete,Green,8.0,Friday,April,No,No,28.3,No,No,3.0,Yes,Morning,No,3633.0,High,Regular,0.0,No,2025-04-07,20.0
Nagasandra,Green,22.0,Monday,October,No,No,28.5,No,No,8.0,No,Night,No,866.0,Medium,Terminal,0.0,No,2025-10-16,10.0
South End Circle,Green,21.0,Thursday,May,No,No,28.0,No,No,8.0,No,Night,No,771.0,Low,Regular,0.0,No,2025-05-03,30.0
Bommasandra,Yellow,16.0,Thursday,May,No,No,31.3,No,Yes,5.0,No,Evening,No,1415.0,Medium,Terminal,0.0,No,2025-05-26,50.0
Lalbagh,Green,16.0,Monday,June,No,No,29.6,No,No,5.0,No,Evening,No,1223.0,Medium,Regular,0.0,Yes,2025-06-16,25.0
National College,Green,22.0,Thursday,February,No,,19.9,No,No,8.0,No,Night,No,915.0,Medium,Regular,0.0,No,2024-02-08,25.0
Lalbagh,Green,19.0,Tuesday,July,No,No,29.1,No,No,3.0,Yes,Evening,No,4591.0,High,Regular,10.0,Yes,2023-07-12,25.0
Swami Vivekananda Road,Purple,14.0,Thursday,January,No,No,27.0,,No,5.0,No,Evening,No,1160.0,Medium,Regular,0.0,No,2024-01-03,20.0
Banashankari,Yellow,16.0,Monday,November,No,No,25.6,,No,,No,Evening,No,1290.0,Medium,Regular,0.0,Yes,2025-11-17,40.0
RV Road,Yellow,10.0,Sunday,June,Yes,No,25.3,Yes,No,5.0,No,Midday,Yes,657.0,Low,Interchange,2.0,No,2025-06-21,
Halasuru,Purple,13.0,Saturday,September,Yes,No,30.0,No,No,5.0,No,Midday,Yes,1400.0,Medium,Regular,0.0,Yes,2024-09-18,20.0
Magadi Road,Purple,14.0,Monday,July,No,No,15.8,No,No,,No,Evening,No,1144.0,Medium,Regular,5.0,No,2023-07-11,20.0
Kengeri,Purple,16.0,Saturday,January,,No,23.7,No,No,5.0,No,Evening,Yes,738.0,Low,Terminal,5.0,Yes,2024-01-04,50.0
Vijayanagar,Purple,,Tuesday,March,No,No,,,No,5.0,No,Midday,No,2079.0,High,Regular,0.0,No,2025-03-16,30.0
Hebbagodi,Yellow,15.0,Sunday,July,Yes,No,24.9,Yes,,5.0,No,Evening,Yes,628.0,Low,Regular,0.0,No,2024-07-17,20.0
KR Market,Green,16.0,Sunday,July,Yes,No,17.5,No,No,5.0,No,Evening,Yes,764.0,Low,Regular,0.0,No,2024-07-09,20.0
,Yellow,18.0,Sunday,May,Yes,,33.2,No,No,3.0,Yes,Evening,Yes,2606.0,High,Regular,0.0,,2023-05-06,20.0
Nagasandra,Green,19.0,Thursday,March,No,No,24.8,No,No,,Yes,Evening,No,4676.0,High,Terminal,0.0,No,2024-03-24,10.0
Attiguppe,Purple,14.0,Saturday,April,Yes,,28.2,No,No,5.0,No,Evening,Yes,1117.0,Medium,Regular,0.0,,2025-04-27,40.0
Chickpete,Green,15.0,Tuesday,November,No,No,,No,No,5.0,No,Evening,No,1254.0,,Regular,0.0,No,2024-11-20,20.0
Hosahalli,Purple,7.0,Friday,July,No,No,25.2,No,No,3.0,Yes,Morning,No,1631.0,Medium,Regular,0.0,,2025-07-25,20.0
Dasarahalli,Green,21.0,Tuesday,February,No,No,26.1,,No,8.0,No,Night,No,1011.0,Medium,Regular,0.0,No,2024-02-02,10.0
Yelachenahalli,Green,21.0,Thursday,October,No,,28.1,No,No,8.0,No,Night,No,784.0,Low,Regular,5.0,No,2024-10-09,20.0
Banashankari,Yellow,12.0,Wednesday,June,No,No,26.5,No,No,5.0,No,Midday,No,1927.0,Medium,Regular,0.0,Yes,2023-06-21,40.0
,Yellow,11.0,Sunday,November,Yes,No,32.8,No,No,5.0,No,Midday,Yes,757.0,Low,Interchange,0.0,No,2025-11-06,30.0
Bommasandra,Yellow,17.0,Wednesday,August,,No,29.1,Yes,Yes,3.0,Yes,Evening,No,5105.0,High,Terminal,2.0,No,2024-08-03,50.0
Kengeri,Purple,9.0,Wednesday,October,No,No,25.4,No,No,3.0,Yes,Morning,No,3571.0,High,Terminal,10.0,Yes,2024-10-20,50.0
Trinity,Purple,10.0,Wednesday,May,No,No,26.6,No,No,5.0,No,Midday,No,1279.0,Medium,Regular,0.0,Yes,2024-05-06,20.0
Jayanagar,Green,12.0,Monday,January,No,No,24.1,No,No,5.0,No,Midday,No,1871.0,Medium,Regular,0.0,No,2025-01-07,30.0
Sandal Soap Factory,Green,21.0,Sunday,August,Yes,No,27.6,Yes,No,8.0,No,Night,Yes,464.0,Low,Regular,2.0,No,2023-08-01,20.0
Magadi Road,Purple,22.0,Wednesday,May,No,No,27.0,No,No,8.0,No,Night,No,748.0,Low,Regular,,No,2025-05-23,20.0
Jayanagar 4th Block,Yellow,11.0,Thursday,September,No,No,27.9,Yes,No,5.0,No,Midday,No,940.0,Medium,Regular,2.0,No,2023-09-01,20.0
Hosahalli,Purple,10.0,Tuesday,February,No,No,32.9,No,No,5.0,No,Midday,No,1052.0,Medium,Regular,0.0,No,2024-02-05,20.0
Jalahalli,Green,13.0,Sunday,January,Yes,No,27.3,No,No,5.0,,Midday,Yes,1266.0,Medium,Regular,0.0,No,2023-01-06,15.0
South End Circle,Green,6.0,Saturday,June,Yes,No,26.3,Yes,No,8.0,No,Morning,Yes,835.0,Medium,Regular,0.0,No,2024-06-13,30.0
Halasuru,Purple,6.0,Tuesday,February,No,No,27.5,No,No,8.0,No,Morning,No,1332.0,Medium,Regular,0.0,Yes,2024-02-02,20.0
Peenya,Green,22.0,Wednesday,October,No,No,25.3,No,Yes,8.0,No,Night,No,858.0,Medium,Regular,0.0,No,2023-10-15,
Jayanagar 4th Block,Yellow,11.0,Wednesday,June,No,No,30.0,Yes,,5.0,No,Midday,No,906.0,Medium,Regular,2.0,No,2024-06-15,20.0
Majestic,Green,17.0,Sunday,March,Yes,No,24.7,No,No,3.0,Yes,Evening,Yes,3548.0,High,Interchange,0.0,Yes,2025-03-13,25.0
Mysuru Road,Purple,17.0,Monday,July,No,No,23.7,Yes,No,3.0,Yes,Evening,No,3045.0,High,Regular,0.0,No,2023-07-26,40.0
Sandal Soap Factory,Green,18.0,Saturday,January,Yes,No,30.3,No,No,3.0,Yes,Evening,Yes,3157.0,High,Regular,0.0,No,2025-01-25,20.0
JP Nagar 2nd Phase,Yellow,13.0,Tuesday,,No,No,25.4,No,No,5.0,No,Midday,No,1872.0,Medium,Regular,0.0,No,2024-02-14,20.0
Hebbagodi,Yellow,9.0,Saturday,May,Yes,No,29.1,No,Yes,3.0,Yes,Morning,Yes,2995.0,High,Regular,2.0,No,2024-05-26,20.0
Jalahalli,Green,21.0,Wednesday,August,No,No,,,No,8.0,No,Night,No,683.0,Low,Regular,0.0,No,2023-08-22,15.0
Majestic,Purple,11.0,Thursday,July,No,No,27.0,No,No,5.0,No,Midday,No,1816.0,Medium,Interchange,0.0,Yes,2023-07-07,25.0
Banashankari,Yellow,15.0,Wednesday,March,No,No,26.9,No,No,5.0,No,Evening,No,1171.0,Medium,Regular,0.0,,2023-03-14,40.0
Dasarahalli,Green,16.0,Wednesday,November,No,No,29.7,No,No,5.0,No,Evening,No,1262.0,Medium,Regular,0.0,No,2023-11-26,10.0
JP Nagar 2nd Phase,Yellow,7.0,Saturday,August,Yes,No,25.2,Yes,No,3.0,Yes,Morning,Yes,765.0,Low,Regular,0.0,No,2023-08-24,20.0
Deepanjalinagar,Purple,16.0,Wednesday,October,No,No,,No,No,5.0,No,Evening,No,1207.0,Medium,Regular,0.0,No,2024-10-27,20.0
Jayanagar 4th Block,Yellow,8.0,Monday,December,No,No,26.4,No,No,3.0,Yes,Morning,No,3684.0,High,Regular,0.0,No,2025-12-10,20.0
Gottigere,Yellow,18.0,Wednesday,June,No,No,30.2,No,No,5.0,,Evening,No,4646.0,High,Regular,10.0,No,2025-06-17,20.0
Tagore Nagar,Yellow,19.0,Sunday,July,Yes,No,26.3,No,No,3.0,Yes,Evening,Yes,2400.0,High,Regular,0.0,No,2024-07-14,20.0
